haulid,lengthclass,sppLatin,numlengthclass,year,latitudestart,longitudestart
p05960537324,smalljuv,balistes capriscus,0,1996,32.34,-79.21
p05960540324,adult,balistes capriscus,72,1996,32.34,-79.21
p05960540324,largejuv,balistes capriscus,3,1996,32.34,-79.21
p05960540324,smalljuv,balistes capriscus,0,1996,32.34,-79.21
p05960541324,adult,balistes capriscus,86,1996,32.34,-79.21
p05960541324,largejuv,balistes capriscus,5,1996,32.34,-79.21
p05960541324,smalljuv,balistes capriscus,0,1996,32.34,-79.21
p05971266324,adult,balistes capriscus,1,1997,32.25,-79.7
p05971266324,largejuv,balistes capriscus,1,1997,32.25,-79.7
p05971266324,smalljuv,balistes capriscus,0,1997,32.25,-79.7
p05971510324,adult,balistes capriscus,4,1997,32.34,-79.21
